timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 00:59:55,26168 Kbps,600 KB,1.05 s,3840x2160@24
2023-11-30 00:59:56,29603 Kbps,196 KB,0.10 s,3840x2160@24
2023-11-30 00:59:57,28901 Kbps,210 KB,1.53 s,3840x2160@24
2023-11-30 00:59:59,26683 Kbps,270 KB,0.65 s,3840x2160@24
2023-11-30 01:00:00,25845 Kbps,416 KB,0.64 s,3840x2160@24
2023-11-30 01:00:01,25045 Kbps,414 KB,0.13 s,3840x2160@24
2023-11-30 01:00:02,23622 Kbps,711 KB,0.12 s,3840x2160@24
2023-11-30 01:00:03,20986 Kbps,506 KB,0.00 s,3840x2160@24
2023-11-30 01:00:04,19472 Kbps,312 KB,0.00 s,3840x2160@24
2023-11-30 01:00:05,18728 Kbps,337 KB,0.00 s,3840x2160@24
2023-11-30 01:00:06,19330 Kbps,377 KB,0.76 s,3840x2160@24
2023-11-30 01:00:07,19491 Kbps,329 KB,0.09 s,3840x2160@24
2023-11-30 01:00:09,18524 Kbps,392 KB,0.00 s,3840x2160@24
2023-11-30 01:00:10,18538 Kbps,273 KB,0.00 s,3840x2160@24
2023-11-30 01:00:11,18545 Kbps,270 KB,0.00 s,3840x2160@24
2023-11-30 01:00:12,18738 Kbps,241 KB,0.00 s,3840x2160@24
2023-11-30 01:00:13,18256 Kbps,342 KB,0.03 s,3840x2160@24
2023-11-30 01:00:14,18223 Kbps,423 KB,0.00 s,3840x2160@24
2023-11-30 01:00:15,17574 Kbps,540 KB,0.11 s,3840x2160@24
2023-11-30 01:00:16,18081 Kbps,430 KB,0.31 s,3840x2160@24
2023-11-30 01:00:17,18908 Kbps,441 KB,0.55 s,3840x2160@24
2023-11-30 01:00:18,21065 Kbps,415 KB,0.03 s,3840x2160@24
2023-11-30 01:00:19,18912 Kbps,176 KB,0.00 s,3840x2160@24
2023-11-30 01:00:21,19724 Kbps,491 KB,0.00 s,3840x2160@24
2023-11-30 01:00:22,19701 Kbps,391 KB,0.00 s,3840x2160@24
2023-11-30 01:00:23,19226 Kbps,338 KB,0.00 s,3840x2160@24
2023-11-30 01:00:24,21259 Kbps,379 KB,0.31 s,3840x2160@24
2023-11-30 01:00:25,21244 Kbps,353 KB,0.00 s,3840x2160@24
2023-11-30 01:00:26,20386 Kbps,253 KB,0.00 s,3840x2160@24
2023-11-30 01:00:27,20221 Kbps,373 KB,0.00 s,3840x2160@24
2023-11-30 01:00:28,21694 Kbps,425 KB,0.00 s,3840x2160@24
2023-11-30 01:00:29,23284 Kbps,485 KB,0.19 s,3840x2160@24
2023-11-30 01:00:30,23354 Kbps,292 KB,0.00 s,3840x2160@24
2023-11-30 01:00:32,21804 Kbps,406 KB,0.00 s,3840x2160@24
2023-11-30 01:00:33,19777 Kbps,348 KB,0.00 s,3840x2160@24
2023-11-30 01:00:34,17999 Kbps,278 KB,0.00 s,3840x2160@24
2023-11-30 01:00:35,17848 Kbps,312 KB,0.00 s,3840x2160@24
2023-11-30 01:00:36,16805 Kbps,276 KB,0.35 s,3840x2160@24
2023-11-30 01:00:37,16286 Kbps,406 KB,0.00 s,3840x2160@24
2023-11-30 01:00:38,16281 Kbps,459 KB,0.00 s,3840x2160@24
2023-11-30 01:00:39,16643 Kbps,195 KB,0.00 s,3840x2160@24
2023-11-30 01:00:40,15878 Kbps,292 KB,0.00 s,3840x2160@24
2023-11-30 01:00:41,15868 Kbps,294 KB,0.00 s,3840x2160@24
2023-11-30 01:00:43,15962 Kbps,348 KB,0.18 s,3840x2160@24
2023-11-30 01:00:44,16137 Kbps,311 KB,0.00 s,3840x2160@24
2023-11-30 01:00:45,15958 Kbps,370 KB,0.00 s,3840x2160@24
