timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 14:04:44,64285 Kbps,0 KB,83.37 s,854x480@24
2023-11-30 14:04:45,64285 Kbps,0 KB,89.37 s,854x480@24
2023-11-30 14:04:46,64285 Kbps,0 KB,88.35 s,854x480@24
2023-11-30 14:04:47,64285 Kbps,0 KB,87.34 s,854x480@24
2023-11-30 14:04:48,64285 Kbps,0 KB,85.83 s,854x480@24
2023-11-30 14:04:49,64285 Kbps,0 KB,84.82 s,854x480@24
2023-11-30 14:04:50,64285 Kbps,0 KB,83.80 s,854x480@24
2023-11-30 14:04:51,64285 Kbps,0 KB,82.80 s,854x480@24
2023-11-30 14:04:52,64285 Kbps,0 KB,88.80 s,854x480@24
2023-11-30 14:04:53,64285 Kbps,0 KB,87.27 s,854x480@24
2023-11-30 14:04:55,64285 Kbps,0 KB,86.27 s,854x480@24
2023-11-30 14:04:56,64285 Kbps,0 KB,85.26 s,854x480@24
2023-11-30 14:04:57,64285 Kbps,0 KB,84.25 s,854x480@24
2023-11-30 14:04:58,64285 Kbps,0 KB,83.23 s,854x480@24
2023-11-30 14:04:59,64285 Kbps,0 KB,82.23 s,854x480@24
2023-11-30 14:05:00,49778 Kbps,562 KB,87.03 s,854x480@24
2023-11-30 14:05:01,49778 Kbps,0 KB,86.03 s,854x480@24
2023-11-30 14:05:02,49778 Kbps,0 KB,85.01 s,854x480@24
2023-11-30 14:05:03,49778 Kbps,0 KB,83.98 s,854x480@24
2023-11-30 14:05:04,49778 Kbps,0 KB,82.96 s,854x480@24
2023-11-30 14:05:05,49778 Kbps,0 KB,81.96 s,854x480@24
2023-11-30 14:05:07,49778 Kbps,0 KB,85.64 s,854x480@24
2023-11-30 14:05:08,49778 Kbps,0 KB,84.64 s,854x480@24
2023-11-30 14:05:09,49778 Kbps,0 KB,83.63 s,854x480@24
2023-11-30 14:05:10,49778 Kbps,0 KB,82.62 s,854x480@24
2023-11-30 14:05:11,49778 Kbps,0 KB,88.61 s,854x480@24
2023-11-30 14:05:12,49778 Kbps,0 KB,87.09 s,854x480@24
2023-11-30 14:05:13,49778 Kbps,0 KB,86.09 s,854x480@24
2023-11-30 14:05:14,49778 Kbps,0 KB,85.07 s,854x480@24
2023-11-30 14:05:15,49778 Kbps,0 KB,84.06 s,854x480@24
2023-11-30 14:05:17,49778 Kbps,0 KB,83.04 s,854x480@24
2023-11-30 14:05:18,49778 Kbps,0 KB,84.53 s,854x480@24
2023-11-30 14:05:19,49778 Kbps,0 KB,83.51 s,854x480@24
2023-11-30 14:05:20,49778 Kbps,0 KB,82.50 s,854x480@24
2023-11-30 14:05:21,49778 Kbps,0 KB,87.95 s,854x480@24
2023-11-30 14:05:22,49778 Kbps,0 KB,86.93 s,854x480@24
2023-11-30 14:05:23,49778 Kbps,0 KB,85.92 s,854x480@24
2023-11-30 14:05:24,49778 Kbps,0 KB,84.41 s,854x480@24
2023-11-30 14:05:25,49778 Kbps,0 KB,83.40 s,854x480@24
2023-11-30 14:05:26,49778 Kbps,0 KB,82.38 s,854x480@24
2023-11-30 14:05:28,49778 Kbps,0 KB,88.37 s,854x480@24
2023-11-30 14:05:29,49778 Kbps,0 KB,87.37 s,854x480@24
2023-11-30 14:05:30,49778 Kbps,0 KB,86.36 s,854x480@24
2023-11-30 14:05:31,49778 Kbps,0 KB,84.85 s,854x480@24
2023-11-30 14:05:32,49778 Kbps,0 KB,83.84 s,854x480@24
2023-11-30 14:05:33,49778 Kbps,0 KB,82.82 s,854x480@24
2023-11-30 14:05:34,49778 Kbps,0 KB,88.74 s,854x480@24
2023-11-30 14:05:35,49778 Kbps,0 KB,87.72 s,854x480@24
